Project #,OriginalAddress,AppliedDate,Applied Year,CompletedDate,Year Completed,PermitClassGroup,Applicant / Contractor Name,ApplicantName,ContractorName,HousingUnits,EstProjectCost,CommunityName,CommunityCode,Initial Assessment,Final Assessment,AssessmentDifference,Income,Coordinates,Distance To Downtown,Distance To Nearest Transit Stop,Cost Per Unit,Distance to Nearest Park,Distance to Nearest Public School,ROI,Classification
16,#1 1703 37 ST SE,2017-06-07,2017,2019-10-01,2019,Townhouse,DARAFZIN DESIGN AND DEVELOPMENT,DARAFZIN DESIGN AND DEVELOPMENT,0,4,693148,FOREST LAWN,FLN,344500,613500,269000,73000,"[-113.9803243, 51.0390408]",6.432471337,0.087877466,173287,0.303994941,0.265141943,-0.41,0
128,8912 46 ST NE,2018-03-02,2018,2018-11-19,2018,Apartment,HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),3,548080,SADDLE RIDGE,SAD,725500,1055000,329500,98000,"[-113.9655156, 51.13280861]",12.2924693,0.041301427,182693.3333,0.257436933,0.377727197,-0.17,0
188,#4 1301 5 ST NE,2020-11-23,2020,2022-10-13,2022,Unspecified,SUNSTAR HOMES,0,SUNSTAR HOMES,4,926222,RENFREW,REN,1016500,1380000,363500,83000,"[-114.0509673, 51.0636497]",2.561570755,0.041256146,231555.5,0.149204165,0.364951002,-0.29,0
86,822 CENTRE AV NE,2022-07-31,2022,2023-07-21,2023,Townhouse,INTEGER HOMES,INTEGER HOMES,INTEGER HOMES,3,435798,BRIDGELAND/RIVERSIDE,BRD,437000,921000,484000,76000,"[-114.044845, 51.052478]",2.077023319,0.083655736,145266,0.107963933,0.205603687,0.06,0
123,#1 5115 4A ST SW,2018-03-12,2018,2021-03-24,2021,Townhouse,CYNC ARCHITECTURE,CYNC ARCHITECTURE,0,19,3271000,WINDSOR PARK,WND,2740500,3240000,499500,83000,"[-114.0742909, 51.00860646]",4.020632581,0.214097491,172157.8947,0.269978699,0.374631792,-0.46,0
26,230 ALPINE AV SW,2021-12-01,2021,2023-10-27,2023,Unspecified,GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,GENESIS BUILDERS GROUP,27,6303983,ALPINE PARK,ALP,1109500,15433000,14323500,122000,"[-114.1420602125, 50.916065528749996]",15.12720539,0.073693159,233480.8519,0.177808255,1.404262689,1.08,2
63,2617 12 AV SE,2019-11-20,2019,2020-11-09,2020,Unspecified,DESIGNHAUS STUDIO,DESIGNHAUS STUDIO,WESTMOUNT PROJECTS,4,761818,ALBERT PARK/RADISSON HEIGHTS,ALB,384000,898000,514000,65500,"[-113.9993181, 51.04186074]",5.083208878,0.102324963,190454.5,0.058471378,0.521376629,-0.22,0
118,1640 40 ST SW,2018-06-12,2018,2020-02-27,2020,Townhouse,MAX TAYEFI ARCHITECT,MAX TAYEFI ARCHITECT,0,6,1451655,ROSSCARROCK,RCK,627000,1200000,573000,82000,"[-114.1452823, 51.03819702]",5.182898202,0.05951294,241942.5,0.28016013,0.338195176,-0.42,0
5,#127 8535 19 AV SE,2022-06-23,2022,2023-12-11,2023,Townhouse,MINTO COMMUNITIES,MINTO COMMUNITIES,MINTO COMMUNITIES,11,2313589,BELVEDERE,BVD,2214450,6190000,3975550,59200,"[-113.9100963, 51.03562324]",11.35686553,0.236979978,210326.2727,0.100225638,2.298181897,0.37,1
101,#1 1922 36 ST SW,2017-09-26,2017,2021-05-04,2021,Apartment,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,0,8,1594277,KILLARNEY/GLENGARRY,KIL,1409500,1998500,589000,101000,"[-114.1397372, 51.036796885]",4.825453674,0.097269116,199284.625,0.352280754,0.320911806,-0.33,0
158,5036 22 ST SW,2019-11-06,2019,2020-12-28,2020,Unspecified,0,0,0,3,597760,ALTADORE,ALT,319000,944000,625000,113000,"[-114.1144772, 51.0088392]",4.980333635,0.015242517,199253.3333,0.120686193,0.120274968,0.03,0
219,#4 4423 BOWNESS RD NW,2020-11-10,2020,2023-03-22,2023,Unspecified,0,0,0,4,837660,MONTGOMERY,MON,384500,1010000,625500,81000,"[-114.156745, 51.06964625]",6.546136149,0.038817305,209415,0.213621521,0.348616481,-0.17,0
200,#1B 2636 MORLEY TR NW,2017-10-04,2017,2022-05-17,2022,Townhouse,SUNSTAR HOMES,0,SUNSTAR HOMES,8,1891863,BANFF TRAIL,BNF,1130500,1765000,634500,81000,"[-114.11029275, 51.076887635]",4.470909586,0.03500161,236482.875,0.157503207,0.405545018,-0.42,0
159,2049B 43 AV SW,2023-01-26,2023,2023-09-27,2023,Unspecified,RICK BALBI ARCHITECT,RICK BALBI ARCHITECT,PROFESSIONAL CUSTOM HOMES,4,778805,ALTADORE,ALT,1435500,2220000,784500,113000,"[-114.1091543, 51.01474159]",4.232644995,0.0189235,194701.25,0.260084823,0.504098124,0.00,0
18,#2B 1615 20 AV NW,2022-02-07,2022,2023-11-15,2023,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,KALAMOIR,4,794822,CAPITOL HILL,CAP,1099000,1958000,859000,81000,"[-114.0980901, 51.07041654]",3.392762113,0.025600011,198705.5,0.157669265,0.448270834,0.03,0
17,1004B 17 AV NW,2021-09-29,2021,2022-09-02,2022,Townhouse,EXACT CONTRACTING,0,EXACT CONTRACTING,3,605522,MOUNT PLEASANT,MOP,602500,1500000,897500,92000,"[-114.0832352, 51.06825638]",2.733361246,0.124240068,201840.6667,0.301456692,0.300100522,0.24,0
141,#1 409 22 AV NE,2017-09-22,2017,2018-07-27,2018,Townhouse,K HICKERSON CONTRACTING,K HICKERSON CONTRACTING,K HICKERSON CONTRACTING,3,500000,WINSTON HEIGHTS/MOUNTVIEW,WIN,382500,1320000,937500,80000,"[-114.0556784, 51.07232261]",3.270188283,0.057841858,166666.6667,0.46164731,0.390951442,0.50,1
175,3237B KINSALE RD SW,2020-08-21,2020,2021-06-09,2021,Unspecified,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,4,773169,KILLARNEY/GLENGARRY,KIL,465500,1450000,984500,101000,"[-114.137322, 51.0240208]",5.122758974,0.065085635,193292.25,0.144179563,0.324119128,0.17,0
38,6 BELVEDERE AV SE,2021-05-03,2021,2023-12-13,2023,Unspecified,ALLISTON AT HOME,ALLISTON AT HOME,0,46,9759915,BELVEDERE,BVD,2190500,19289000,17098500,59200,"[-113.90609324545454, 51.04092934727273]",11.59853052,0.155961897,212172.0652,0.237481685,2.086211437,0.61,1
78,1254 CARRINGTON BV NW,2018-11-21,2018,2020-05-28,2020,Townhouse,TRUMAN HOMES 1995,TRUMAN HOMES 1995,TRUMAN HOMES 1995,36,6480912,CARRINGTON,CAR,4037000,11819000,7782000,113000,"[-114.08952883333333, 51.17898278777778]",14.97864224,0.3192731,180025.3333,0.139222558,0.870432884,0.12,0
56,2111 5 ST NW,2019-05-30,2019,2022-12-08,2022,Townhouse,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,7,1441654,MOUNT PLEASANT,MOP,483500,1580000,1096500,92000,"[-114.0741689, 51.070678465]",2.889416735,0.181415427,205950.5714,0.115685078,0.461277569,-0.18,0
190,2002 31 ST SW,2018-04-12,2018,2019-08-13,2019,Townhouse,MP REAL ESTATE VENTURES INC.,MP REAL ESTATE VENTURES INC.,0,4,878217,KILLARNEY/GLENGARRY,KIL,1118500,2236000,1117500,101000,"[-114.132023, 51.0361541]",4.31161386,0.177158688,219554.25,0.109873926,0.671860633,0.12,0
168,#1 908 36 ST SE,2018-11-06,2018,2019-10-25,2019,Townhouse,APLIN MARTIN CONSULTANTS,APLIN MARTIN CONSULTANTS,0,15,771962,FOREST LAWN,FLN,967500,2160000,1192500,73000,"[-113.9813485, 51.0449652]",6.329295997,0.031000195,51464.13333,0.201473911,0.300662832,0.24,0
181,2002 26A ST SW,2018-03-16,2018,2019-01-08,2019,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,4,1001326,KILLARNEY/GLENGARRY,KIL,1067500,2267000,1199500,101000,"[-114.1246486, 51.03614871]",3.810658974,0.195346553,250331.5,0.153426912,0.376380479,0.10,0
185,1050 1 AV NE,2021-08-31,2021,2023-03-29,2023,Townhouse,YOUR PROPERTY,YOUR PROPERTY,YOUR PROPERTY,4,1167258,BRIDGELAND/RIVERSIDE,BRD,1118000,2343318,1225318,76000,"[-114.0384672, 51.05334778]",2.524666562,0.028432025,291814.5,0.170774674,0.331934563,0.03,0
218,523 8 ST NE,2019-08-16,2019,2020-10-14,2020,Unspecified,BERESINA HOMES,BERESINA HOMES,0,3,900000,BRIDGELAND/RIVERSIDE,BRD,501500,1758500,1257000,76000,"[-114.0435687, 51.0570093]",2.404282512,0.298087442,300000,0.14663931,0.434083973,0.25,0
91,2841 36 ST SW,2018-09-12,2018,2020-09-15,2020,Townhouse,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,0,4,772375,KILLARNEY/GLENGARRY,KIL,590500,1848500,1258000,101000,"[-114.1399158, 51.02871038]",5.079675596,0.147553853,193093.75,0.240644055,0.079045726,0.36,1
88,1101 8 AV NE,2018-10-10,2018,2019-11-04,2019,Townhouse,JOHN TRINH & ASSOCIATES,JOHN TRINH & ASSOCIATES,0,4,740007,RENFREW,REN,516500,1795500,1279000,83000,"[-114.0362621, 51.05950644]",2.982942736,0.073981932,185001.75,0.264514652,0.50137355,0.43,1
82,9021 46 ST NE,2018-02-16,2018,2019-10-08,2019,Unspecified,HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),HOMES BY AVI (CANADA),13,2087483,SADDLE RIDGE,SAD,2745000,4057000,1312000,98000,"[-113.9660505, 51.134362470000006]",12.40819973,0.009641828,160575.6154,0.081333787,0.546668408,-0.16,0
222,2808 ERLTON ST SW,2019-11-04,2019,2020-11-13,2020,Townhouse,SHEMSHO CONSTRUCTION,0,SHEMSHO CONSTRUCTION,4,852257,ERLTON,ERL,609500,1926000,1316500,77500,"[-114.0620188, 51.0285844]",1.923567118,0.208983072,213064.25,0.091021216,0.898776722,0.32,1
195,#1 338 3 AV NE,2019-08-17,2019,2020-11-16,2020,Unspecified,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,925357 ALBERTA,4,780399,CRESCENT HEIGHTS,CRE,629000,1951500,1322500,83000,"[-114.0556049, 51.05539054]",1.642898567,0.231546378,195099.75,0.178379206,0.249639916,0.38,1
95,3311 33 ST SW,2019-01-08,2019,2020-01-29,2020,Unspecified,SARINA DEVELOPMENTS,SARINA DEVELOPMENTS,0,4,774900,KILLARNEY/GLENGARRY,KIL,698000,2032000,1334000,101000,"[-114.135087, 51.02470663]",4.948846259,0.042196498,193725,0.067705142,0.389209483,0.38,1
165,2836 4 ST NW,2018-09-12,2018,2019-09-17,2019,Unspecified,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,3,816631,MOUNT PLEASANT,MOP,543000,1879000,1336000,92000,"[-114.0712567, 51.07773493]",3.669902231,0.056673874,272210.3333,0.170921799,0.327276376,0.38,1
197,#2 4506 17 AV NW,2019-05-02,2019,2020-06-23,2020,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,802100,MONTGOMERY,MON,414000,1785000,1371000,81000,"[-114.1584414, 51.06985072]",6.663234578,0.094982069,200525,0.24987996,0.463210061,0.47,1
43,1855 12 ST NW,2020-01-24,2020,2021-02-02,2021,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,894279,CAPITOL HILL,CAP,598000,1974000,1376000,81000,"[-114.0899619, 51.06835927]",2.91518789,0.170711057,223569.75,0.284174871,0.499546626,0.32,1
154,1104 40 ST SW,2018-12-24,2018,2021-01-07,2021,Unspecified,0,0,0,4,715000,ROSSCARROCK,RCK,503000,1898500,1395500,82000,"[-114.1452992, 51.04313237]",5.135681845,0.233339795,178750,0.227739964,0.215190873,0.56,1
184,2307 1 ST NW,2020-06-19,2020,2021-06-18,2021,Unspecified,MAXVIEW HOMES,0,MAXVIEW HOMES,4,893997,TUXEDO PARK,TUX,533500,1933000,1399500,80000,"[-114.0641527, 51.07282169]",3.169696012,0.118944884,223499.25,0.368577509,0.280776717,0.35,1
115,1340B 20 AV NW,2021-07-13,2021,2022-08-29,2022,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,4,1689098,CAPITOL HILL,CAP,573500,2000000,1426500,81000,"[-114.0920888, 51.07093316]",3.237540174,0.052672048,422274.5,0.274770666,0.560299582,-0.12,0
167,#1B 462 20 AV NW,2022-03-16,2022,2023-11-16,2023,Unspecified,FORMED ALLIANCE ARCHITECTURE STUDIO,FORMED ALLIANCE ARCHITECTURE STUDIO,EAGLE CREST CONSTRUCTION,4,944103,MOUNT PLEASANT,MOP,911000,2360000,1449000,92000,"[-114.0708638, 51.07072771]",2.891350497,0.048666062,236025.75,0.267269238,0.439172717,0.27,0
204,1431A 10 AV SE,2020-04-24,2020,2021-01-14,2021,Unspecified,BAYWEST HOMES,0,BAYWEST HOMES,4,471101,INGLEWOOD,ING,1216500,2673000,1456500,73000,"[-114.0305665, 51.03858448]",2.96843664,0.124073488,117775.25,0.102801739,0.184745458,0.58,1
174,#1 532 4 AV NE,2018-05-01,2018,2019-02-21,2019,Townhouse,K HICKERSON CONTRACTING,K HICKERSON CONTRACTING,0,3,711555,BRIDGELAND/RIVERSIDE,BRD,394500,1863500,1469000,76000,"[-114.0505351, 51.05619883]",1.962718877,0.151024503,237185,0.083407902,0.229952864,0.68,2
198,2202 36 ST SW,2018-04-12,2018,2020-02-06,2020,Townhouse,MP REAL ESTATE VENTURES INC.,MP REAL ESTATE VENTURES INC.,0,4,878217,KILLARNEY/GLENGARRY,KIL,566500,2044000,1477500,101000,"[-114.1395553, 51.03450471]",4.866252405,0.155776641,219554.25,0.231864299,0.4788685,0.41,1
213,#1 2436 29 ST SW,2018-09-14,2018,2020-08-28,2020,Townhouse,MP REAL ESTATE VENTURES INC.,MP REAL ESTATE VENTURES INC.,0,4,781775,KILLARNEY/GLENGARRY,KIL,529500,2019500,1490000,101000,"[-114.1293794, 51.03191838]",4.265178264,0.20476367,195443.75,0.332729581,0.558262721,0.54,1
186,1703 24 AV NW,2017-06-06,2017,2018-06-25,2018,Townhouse,STONE WEST HOMES,STONE WEST HOMES,0,4,848982,CAPITOL HILL,CAP,520000,2013500,1493500,81000,"[-114.0998816, 51.07415856]",3.812430994,0.363952427,212245.5,0.050447929,0.27986969,0.47,1
211,3807A 2 ST NW,2019-04-02,2019,2020-04-13,2020,Unspecified,AMAYA ARCHITECTURAL DESIGN,AMAYA ARCHITECTURAL DESIGN,0,4,840566,HIGHLAND PARK,HPK,606000,2101500,1495500,80000,"[-114.0668365, 51.08630471]",4.635990534,0.294010793,210141.5,0.125039672,0.259332216,0.45,1
205,#1 1816 17 ST SW,2018-02-02,2018,2019-05-27,2019,Townhouse,CALGARY TECHNOLOGY HOMES,0,CALGARY TECHNOLOGY HOMES,4,1151238,BANKVIEW,BNK,778500,2275000,1496500,54800,"[-114.1014138, 51.03728675]",2.224493145,0.055529772,287809.5,0.065799336,0.480445993,0.18,0
29,2004 4 ST NW,2017-11-16,2017,2019-08-26,2019,Townhouse,ELEVATED DEVELOPMENTS,ELEVATED DEVELOPMENTS,0,4,723900,MOUNT PLEASANT,MOP,518000,2016500,1498500,92000,"[-114.0713338, 51.06981497]",2.789244766,0.063253624,180975,0.276276186,0.400281469,0.62,1
22,2432 17 ST NW,2018-09-11,2018,2019-09-09,2019,Townhouse,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,ARLUX HOMES,4,854900,CAPITOL HILL,CAP,530500,2048000,1517500,81000,"[-114.1019454, 51.07386012]",3.860552067,0.299672592,213725,0.097978056,0.142176627,0.48,1
196,622 2 ST NE,2018-11-22,2018,2020-07-21,2020,Unspecified,SUNSTAR HOMES,SUNSTAR HOMES,0,4,880000,CRESCENT HEIGHTS,CRE,630500,2150000,1519500,83000,"[-114.0574388, 51.05777192]",1.766770817,0.209587315,220000,0.271600558,0.537655338,0.42,1
217,#1 139 24 AV NE,2018-04-02,2018,2020-03-19,2020,Apartment,SUPERIOR DRAFTING & DESIGN,SUPERIOR DRAFTING & DESIGN,0,4,764100,TUXEDO PARK,TUX,498500,2023000,1524500,80000,"[-114.0603696, 51.07407011]",3.359905461,0.172482758,191025,0.541665064,0.072203979,0.60,1
73,2123 12 ST NW,2019-08-06,2019,2020-09-29,2020,Unspecified,CALTON DEVELOPMENTS,CALTON DEVELOPMENTS,CALTON DEVELOPMENTS,4,683071,CAPITOL HILL,CAP,565500,2102500,1537000,81000,"[-114.0899677, 51.07106067]",3.188692343,0.055926278,170767.75,0.317660618,0.412456583,0.68,2
122,1940 32 ST SW,2017-08-30,2017,2018-07-30,2018,Townhouse,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,MILLENIUM PLUS HOMES RENOVATION,4,761397,KILLARNEY/GLENGARRY,KIL,745000,2285000,1540000,101000,"[-114.1335408, 51.03636363]",4.410180554,0.17034175,190349.25,0.217894052,0.573721323,0.52,1
151,#1 2222 24A ST SW,2018-08-29,2018,2019-07-02,2019,Apartment,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,3,700000,RICHMOND,RIC,325500,1866500,1541000,113000,"[-114.1191706, 51.03401936]",3.514325031,0.128516263,233333.3333,0.23396796,0.199743269,0.82,2
193,1105 4 ST NE,2020-01-30,2020,2021-09-03,2021,Unspecified,CASABELLA ENTERPRISES 2012,CASABELLA ENTERPRISES 2012,CASABELLA ENTERPRISES 2012,4,935423,RENFREW,REN,584500,2138000,1553500,83000,"[-114.0534469, 51.06162591]",2.277929197,0.141622897,233855.75,0.422109777,0.443181948,0.41,1
93,516 32 ST NW,2019-07-08,2019,2022-04-04,2022,Unspecified,GOLDMARK HOMES,GOLDMARK HOMES,0,5,1308400,PARKDALE,PKD,2019500,3576000,1556500,109000,"[-114.1332092, 51.05727863]",4.507989919,0.102507191,261680,0.399227113,0.157249784,0.07,0
179,2109 17 ST NW,2019-07-10,2019,2020-08-14,2020,Apartment,URBAN INDIGO FINE HOMES,URBAN INDIGO FINE HOMES,URBAN INDIGO FINE HOMES,4,802300,CAPITOL HILL,CAP,494500,2062500,1568000,81000,"[-114.1022734, 51.07077637]",3.591301705,0.127037894,200575,0.228451755,0.185872513,0.59,1
156,#1 505 6 ST NE,2017-10-12,2017,2020-09-29,2020,Townhouse,KRIEHL DESIGN,KRIEHL DESIGN,0,12,2166210,BRIDGELAND/RIVERSIDE,BRD,1350000,2920000,1570000,76000,"[-114.0485216, 51.0563511]",2.082206277,0.249215191,180517.5,0.189539304,0.214873694,-0.17,0
129,#2 2412 24A ST SW,2020-06-22,2020,2021-03-08,2021,Townhouse,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,1288048,RICHMOND,RIC,486000,2063000,1577000,113000,"[-114.1191665, 51.03270236]",3.566407594,0.094317695,322012,0.139295628,0.11768427,0.16,0
127,1521 20 AV NW,2019-11-28,2019,2020-11-10,2020,Unspecified,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,EAGLE CREST CONSTRUCTION,7,1091265,CAPITOL HILL,CAP,937500,2530000,1592500,81000,"[-114.0960314, 51.07041308]",3.316965566,0.036384122,155895,0.063251134,0.582408455,0.25,0
90,5120 21 ST SW,2022-02-24,2022,2023-06-20,2023,Townhouse,KEN HOMES,KEN HOMES,KEN HOMES,4,937717,NORTH GLENMORE PARK,NGM,569500,2170000,1600500,116000,"[-114.1117151, 51.00814516]",4.930746638,0.118324292,234429.25,0.212163409,0.129443738,0.44,1
57,1941 46 ST NW,2018-03-29,2018,2019-10-18,2019,Townhouse,CONSTRUCTED CONCEPT DEVELOPMENTS,CONSTRUCTED CONCEPT DEVELOPMENTS,0,4,876033,MONTGOMERY,MON,371500,1975500,1604000,81000,"[-114.1600456, 51.07305786]",6.91985597,0.052222237,219008.25,0.24643886,0.218038347,0.58,1
62,248 CARRINGHAM WY NW,2022-10-25,2022,2023-10-17,2023,Unspecified,MATTAMY HOMES CALGARY,MATTAMY HOMES CALGARY,MATTAMY (ABERDEEN HEIGHTS),16,3493309,CARRINGTON,CAR,446000,8713000,8267000,113000,"[-114.092693375, 51.184609637499996]",15.62127111,0.180809547,218331.8125,0.195092431,1.065552111,1.21,2
75,3218B 26 AV SW,2022-08-11,2022,2023-05-04,2023,Townhouse,KILLARNEY23,KILLARNEY23,PEN LAKE VENTURES,4,759053,KILLARNEY/GLENGARRY,KIL,576000,2220000,1644000,101000,"[-114.1334516, 51.0301608]",4.599775743,0.060599198,189763.25,0.255437024,0.235991044,0.66,2
172,5103 6 ST SW,2017-08-24,2017,2022-10-14,2022,Townhouse,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,SINCLAIR SIGNATURE HOMES,8,1670100,WINDSOR PARK,WND,1540500,3189000,1648500,83000,"[-114.07906565, 51.008394315000004]",4.071798394,0.178043054,208762.5,0.23537036,0.192214607,-0.01,0
113,417 7 ST NW,2019-09-12,2019,2021-01-12,2021,Townhouse,RENOVA HOMES & RENOVATIONS,RENOVA HOMES & RENOVATIONS,RENOVA HOMES & RENOVATIONS,4,650547,SUNNYSIDE,SSD,505000,2159500,1654500,83000,"[-114.0815959, 51.05826548]",1.650805423,0.17855777,162636.75,0.213564813,0.23635005,0.87,2
13,1502 37 AV SW,2019-05-29,2019,2020-10-13,2020,Townhouse,MATT WILSON VENTURES,MATT WILSON VENTURES,0,5,1273417,ALTADORE,ALT,821500,2479500,1658000,113000,"[-114.0948712, 51.02136604]",3.055360717,0.009906041,254683.4,0.133475152,0.328489592,0.18,0
70,2176 11 ST NW,2021-03-09,2021,2021-10-26,2021,Unspecified,GOVIND HOMES,0,GOVIND HOMES,4,893588,CAPITOL HILL,CAP,581500,2260500,1679000,81000,"[-114.0871687, 51.07104481]",3.11467475,0.061097056,223397,0.238744659,0.217087851,0.53,1
34,3248 18 ST SW,2019-04-02,2019,2020-08-21,2020,Unspecified,0,0,0,4,981994,SOUTH CALGARY,SOC,667500,2355000,1687500,113000,"[-114.1042005, 51.02502592]",3.147793644,0.121958773,245498.5,0.49271636,0.340571738,0.43,1
153,2320 16A ST SW,2018-02-27,2018,2021-07-02,2021,Townhouse,SUPERIOR DRAFTING & DESIGN,SUPERIOR DRAFTING & DESIGN,0,5,1224349,BANKVIEW,BNK,923500,2653500,1730000,54800,"[-114.1002486, 51.03346627]",2.345826733,0.21622972,244869.8,0.091818119,0.463983999,0.24,0
216,#3B 202 25 AV NW,2021-11-26,2021,2023-10-27,2023,Unspecified,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,CHANDAN HOMES,4,799400,TUXEDO PARK,TUX,600000,2337000,1737000,80000,"[-114.0653281, 51.07528421]",3.427882188,0.19264334,199850,0.232829197,0.304907639,0.67,2
187,#1 1914 1 ST NW,2018-12-14,2018,2019-10-28,2019,Apartment,TRICOR DESIGN GROUP,TRICOR DESIGN GROUP,0,4,935933,TUXEDO PARK,TUX,534500,2311000,1776500,80000,"[-114.0637905, 51.06935187]",2.795306033,0.079439874,233983.25,0.254486836,0.143140947,0.57,1
111,941 38 ST SW,2018-02-27,2018,2021-03-09,2021,Townhouse,K5 DESIGNS,K5 DESIGNS,HADDAD HOMES,8,2454483,ROSSCARROCK,RCK,962000,2749000,1787000,82000,"[-114.14259100000001, 51.04354249]",4.94501401,0.119792916,306810.375,0.24389149,0.300484022,-0.20,0
