"BOARD","NAME","ADDRESS_AB","POSTAL_COD","CITY","PROVINCE","PHONE_NO","FAX_NO","EMAIL","GRADES","POSTSECOND","DATA_SOURCE","ELEM","JUNIOR_H","SENIOR_H","GLOBAL_ID","POINT"
"Calgary International Academy Ltd","Calgary International Academy ECS","110-1248 Livingston Way NE","T3J4A3","Calgary","AB","(403) 991-7534",,"info@ciacademy.ca","Unknown","N","N","N","N","N","{89C16590-7913-4F56-A9EF-4C816183519F}","POINT (-113.9528036 51.1258951)"
"The Calgary Roman Catholic Separate School Division","St. Andrew School","4331 - 41 Avenue S.W.","T3E1G2","Calgary","AB","(403) 500-2031",,"standrew@cssd.ab.ca","Elementary","N","N","Y","N","N","{E4F803D6-1B18-41BA-9283-6EB488C58EE6}","POINT (-114.1477384 51.0163696)"
"The Calgary Roman Catholic Separate School Division","St. Cecilia (Bilingual) Elementary School","610 Agate Crescent S.E.","T2J0Z3","Calgary","AB","(403) 500-2040",,"stcecilia@cssd.ab.ca","Elementary","N","N","Y","N","N","{D584CDE6-B3AE-4A56-8702-B33C7B8ECB5B}","POINT (-114.0504253 50.9653028)"
"The Calgary School Division","Ernest Morrow School","1212  47 St SE","T2A1R3","Calgary","AB","(403) 777-7800",,"ernestmorrow@cbe.ab.ca","Junior High","N","N","N","Y","N","{D51AA531-DCEF-4C80-AAA3-9A2FCA34C4B1}","POINT (-113.9648529 51.0433913)"
"The Calgary School Division","Altadore School","4506  16 St SW","T2T4H9","Calgary","AB","(403) 777-6910",,"altadore@cbe.ab.ca","Elementary","N","N","Y","N","N","{A2F7AAD4-65E2-43B8-BC0B-C7AC1164AB50}","POINT (-114.0997475 51.0140094)"
"The Calgary School Division","Balmoral School","220 16 Ave NW","T2M0H4","Calgary","AB","(403) 777-7330",,"balmoral@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{1B376B7F-50A1-41B8-B86C-8F24A33C09C8}","POINT (-114.0664944 51.0678886)"
"The Calgary School Division","Chaparral School","480 Chaparral Dr SE","T2X3S2","Calgary","AB","(403) 777-6424",,"chaparral@cbe.ab.ca","Elementary","N","N","Y","N","N","{574E766E-E4B1-4C78-AF55-3919F1B5E5E3}","POINT (-114.0449824 50.8829707)"
"The Calgary School Division","Thorncliffe School","5646 Thornton Rd NW","T2K3B9","Calgary","AB","(403) 777-6670",,"thorncliffe@cbe.ab.ca","Elementary","N","N","Y","N","N","{7440A44A-357E-4130-938B-833F10F3CD2B}","POINT (-114.0671109 51.1023299)"
,"UNIVERSITY OF CALGARY - MAIN CAMPUS - MACEWAN STUDENT CENTRE",,,"Calgary","AB","(403) 210-7625",,,,"Y","Y",,,,"{CCD17696-F731-40FF-8E3E-ABE78D1267B3}","POINT (-114.1317287 51.0782159)"
"The Calgary Roman Catholic Separate School Division","St. Gianna School","800 Auburn Bay Blvd SE","T3M0H7","Calgary","AB","(403) 500-2135",,"stgianna@cssd.ab.ca","Elementary","N","N","Y","N","N","{59F14A19-A585-40B8-A778-9A39B848FFA9}","POINT (-113.9680452 50.8955204)"
"The Calgary School Division","Deer Run School","2127  146 Ave SE","T2J6P8","Calgary","AB","(403) 777-6840",,"deerrun@cbe.ab.ca","Elementary","N","N","Y","N","N","{B966099F-5724-445E-8F84-D27B07F3FB24}","POINT (-114.0094687 50.9215622)"
"The Calgary School Division","Banff Trail School","3232 Cochrane Rd NW","T2M4J3","Calgary","AB","(403) 777-6120",,"banfftrail@cbe.ab.ca","Elementary","N","N","Y","N","N","{5E22C7E0-192F-4C49-8EAB-22F9EBAB0FBC}","POINT (-114.116773 51.0816462)"
"The Calgary Roman Catholic Separate School Division","Father Scollen School","6839 Temple Drive N.E.","T1Y5N4","Calgary","AB","(403) 500-2088",,"fatherscollen@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{C8D70F8B-7A51-4DC0-9957-2D6A7BD50B12}","POINT (-113.9419758 51.093027)"
"The Calgary Roman Catholic Separate School Division","St. Martha School","6020 - 4 Avenue N.E.","T2A4B1","Calgary","AB","(403) 500-2074",,"stmartha@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{7E5AEF4F-32B2-4D54-8EF2-0431F7C17CE2}","POINT (-113.9456501 51.0565501)"
"The Calgary School Division","Hidden Valley School","10959 Hidden Valley Dr  NW","T3A6J2","Calgary","AB","(403) 777-7236",,,"Elementary","N","N","Y","N","N","{50699857-D1A6-4886-B300-23F8622C18E1}","POINT (-114.1196043 51.1502605)"
"The Calgary School Division","All Boys Program","3519  36 Avenue SW","T3E1C2","Calgary","AB","(403) 777-8400",,,"Elementary","N","N","Y","N","N","{76C895E7-983E-4AD5-9490-8D4D15C2EC8C}","POINT (-114.13624 51.0211865)"
"Delta West Academy Society","Delta West Academy","414 - 11A Street N.E.","T2E4P3","Calgary","AB","(403) 290-0767",,"info@deltawestacademy.ca","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{3FC49C11-4DB3-4E32-BE9E-A142B1A8C7EF}","POINT (-114.0346391 51.0551144)"
"The Calgary Roman Catholic Separate School Division","St. Ambrose School","1500 Arbour Lake Road N.W.","T3G4X9","Calgary","AB","(403) 500-2100",,"stambrose@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{02A776E1-3316-4680-87D2-A80A6CEE3DF7}","POINT (-114.2061721 51.1334735)"
"The Calgary Roman Catholic Separate School Division","Our Lady of Peace Elementary Junior High School","14826 Millrise Hill S.W.","T2Y2B4","Calgary","AB","(403) 500-2097",,"olp@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{D6B3A856-EE1F-47AC-8AB0-099E17E9D40E}","POINT (-114.0877237 50.9184796)"
"Renfrew Educational Services Society","Renfrew Thomas W. Buchanan Centre","2050 - 21 Street N.E.","T2X3V4","Calgary","AB","(403) 291-5038",,"renfrew@renfreweducation.org","Elementary/Junior High","N","N","Y","Y","N","{3DADF560-8CB9-4DCF-8360-2A01C7AE2FA5}","POINT (-114.0560199 50.9019504)"
"The Calgary School Division","Sir John A. Macdonald School","6600  4 St NW","T2K1C2","Calgary","AB","(403) 777-7670",,"sirjohnamacdonald@cbe.ab.ca","Junior High","N","N","N","Y","N","{0B03A715-A357-428C-B247-EEABAF1F55A1}","POINT (-114.0700599 51.1114838)"
"Bearspaw Christian School Society","Bearspaw Christian School & College","15001 - 69 Street NW","T3R1C5","Calgary","AB","(403) 295-2566",,"info@bearspawschool.com","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{1D0DEC4F-4B6C-475E-9A2E-1B14F168D2D3}","POINT (-114.1893601 51.1869508)"
"The Prairie Land School Division","Al-Amal Online Academy","9 Royal Vista Drive NW","T3R0N2","Calgary","AB","(825) 996-5399",,"al-amal.onlineacademy@plrd.ab.ca","Junior High/Senior High","N","N","N","Y","Y","{9B401E2F-1E36-4F25-82FF-35B03689F163}","POINT (-114.2075571 51.150739)"
"The Calgary School Division","Valley View School","4105  26 Ave SE","T2B0C6","Calgary","AB","(403) 777-8250",,"valleyview@cbe.ab.ca","Elementary","N","N","Y","N","N","{C939BFBD-4DB7-4249-8B06-E79A9A7BD336}","POINT (-113.9752921 51.0300613)"
"The Calgary School Division","Saddle Ridge School","368 Saddlecrest Blvd NE","T3J5L6","Calgary","AB","(403) 777-6249",,"SaddleRidge@cbe.ab.ca","Elementary","N","N","Y","N","N","{742FCCDA-4774-4DF9-9E60-9F38FDCBAC8B}","POINT (-113.9368939 51.1368893)"
"The Calgary Roman Catholic Separate School Division","St. Benedict School","10340 - 19 Street S.W.","T2V1R2","Calgary","AB","(403) 500-2053",,"stbenedict@cssd.ab.ca","Elementary","N","N","Y","N","N","{F3866511-142E-4C66-8987-DCEDEA91E4EC}","POINT (-114.1054613 50.9620004)"
"The Calgary School Division","Dalhousie School","4440 Dallyn St NW","T3A1K3","Calgary","AB","(403) 777-6030",,"dalhousie@cbe.ab.ca","Elementary","N","N","Y","N","N","{884D40D3-5CE6-450A-A809-B03A6E6D27AC}","POINT (-114.1513928 51.1065337)"
"New Heights School and Learning Services Society","New Heights School and Learning Services","2521 Dieppe Ave SW","T3E7M1","Calgary","AB","(403) 240-1312",,"info@newheightscalgary.com","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{EE52E156-57E5-426F-B626-9E582472F2AD}","POINT (-114.1223486 51.0184803)"
"The Calgary Roman Catholic Separate School Division","Bishop Kidd School","1420 - 28 Street S.E.","T2A0Y8","Calgary","AB","(403) 500-2052",,"bishop.kidd@cssd.ab.ca","Junior High","N","N","N","Y","N","{DC888CC9-7834-4058-9377-4ADADB32C4D0}","POINT (-113.9921426 51.040584)"
"Al-Ghani Learning","Asasa Academy","PO Box 54073 Pro Village Squar","T1Y5J1","Calgary","AB","(403) 285-9277",,,"Unknown","N","N","N","N","N","{86DE01CC-C387-4FD2-8FBF-1DECD52FE80E}","POINT (-113.9548921 51.0747556)"
"The Calgary School Division","Vista Heights School","2411 Vermillion St NE","T2E6J3","Calgary","AB","(403) 777-6000",,"vistaheights@cbe.ab.ca","Elementary","N","N","Y","N","N","{ED8C7A52-3AFB-4682-8CB6-1577369BC8D8}","POINT (-114.0170878 51.073894)"
"The Calgary School Division","O. S. Geiger School","100 Castlebrook Dr NE","T3J2J4","Calgary","AB","(403) 777-6950",,"osgeiger@cbe.ab.ca","Elementary","N","N","Y","N","N","{F9D18417-A9A1-4189-834B-CF118DC441EF}","POINT (-113.9615548 51.1048933)"
"The Calgary School Division","Buffalo Rubbing Stone School","1308 Panatella Blvd NW","T3K0X2","Calgary","AB","(403) 817-3536",,"buffalorubbingstone@cbe.ab.ca","Elementary","N","N","Y","N","N","{8D39B627-DF94-4640-B2C2-D63D89E99AB0}","POINT (-114.0873828 51.1683592)"
"The Calgary Roman Catholic Separate School Division","St. Gregory School","5340 - 26 Avenue S.W.","T3E0R6","Calgary","AB","(403) 500-2048",,"stgregory@cssd.ab.ca","Junior High","N","N","N","Y","N","{94A83EEF-4FAE-4902-8274-52E0D120337B}","POINT (-114.160488 51.0311442)"
"Lady Fatima Academy","Lady Fatima Academy","Suite 310 1001 1 St SE","T2G5G3","Calgary","AB","(587) 437-0083",,"info@ladyfatimaacademy.ca","Elementary/Junior High","N","N","Y","Y","N","{1C5F0410-019E-49B6-93C8-E4A222A93EE8}","POINT (-114.061255 51.0430128)"
"The Palliser School Division","Palliser Beyond Borders at Calgary","151 Canada Olympic Road SW","T1Y5Z6","Calgary","AB","(403) 291-0584",,"jason.kwasny@pallisersd.ab.ca","Unknown","N","N","N","N","N","{49D904BF-6F3C-49A1-BDD9-528AF3458793}","POINT (-113.9990566 51.0861212)"
"The Calgary School Division","Maple Ridge School","10203 Maplemont Rd SE","T2J1W3","Calgary","AB","(403) 777-6280",,"mapleridge@cbe.ab.ca","Elementary","N","N","Y","N","N","{8072AE50-5F2D-4526-9565-1947222F7D4F}","POINT (-114.041973 50.9618973)"
"The Calgary Roman Catholic Separate School Division","St. Sebastian Elementary School","65 Chaparal Drive SE","T2X0E6","Calgary","AB","(403) 500-2116",,"stsebastian@cssd.ab.ca","Elementary","N","N","Y","N","N","{019E853F-B69B-4AC6-8CD9-11990DD4E605}","POINT (-114.0291192 50.8848476)"
"The Calgary School Division","Copperfield School","54 Copperstone Rd SE","T2Z0G7","Calgary","AB","(403) 817-3512",,"copperfield@cbe.ab.ca","Elementary","N","N","Y","N","N","{ADAAD736-6667-4BDC-BD43-C1D71636123B}","POINT (-113.9288201 50.9148388)"
"Clear Water Academy Foundation","Clear Water Academy","3910 Quesnay Wood Drive SW","T3E8G1","Calgary","AB","(403) 217-8448",,"btomiak@clearwateracademy.com","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{C11CE4BA-33F7-4A6D-9DEC-CD9EED3BBDCA}","POINT (-114.1232548 51.0192825)"
"The Calgary Chinese Public School Society","Calgary Chinese Private School","126 2nd Avenue S.W","T2P0B9","Calgary","AB","(403) 264-2233",,"ccps@shaw.ca","Senior High","N","N","N","N","Y","{B2EC991D-C51C-43CE-82C8-BEDD9ECE6B99}","POINT (-114.0643022 51.0516213)"
"The Calgary School Division","Sir Winston Churchill High School","5220 Northland Dr NW","T2L2J6","Calgary","AB","(403) 289-9241",,"sirwinstonchurchill@cbe.ab.ca","Senior High","N","N","N","N","Y","{84C4AF13-CA1E-47C2-B1C1-86C72D427785}","POINT (-114.1400026 51.1001279)"
"The Calgary Roman Catholic Separate School Division","St. Sylvester School","7318 Silver Springs Blvd NW.","T3B4N1","Calgary","AB","(403) 500-2063",,"stsylvester@cssd.ab.ca","Elementary","N","N","Y","N","N","{FCC638E8-3762-4CEA-B29B-684824E6832C}","POINT (-114.1943669 51.1092619)"
"Banbury Crossroads School","Banbury Crossroads Academy","201, 2451 Dieppe Ave. SW","T3E7K1","Calgary","AB","(403) 270-7787",,"general@banburycrossroads.com","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{BC953EA1-09EE-4391-A5C8-48CF4D0601A2}","POINT (-114.119053 51.0192933)"
"The Calgary School Division","Sir Wilfrid Laurier School","819  32 St SE","T2A0Y9","Calgary","AB","(403) 777-7370",,"ampetroni@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{12FAECB2-E61C-486B-8D44-4A511808C00F}","POINT (-113.9893203 51.0457415)"
"The Calgary School Division","West Ridge School","8903 Wentworth Ave SW","T3H5N9","Calgary","AB","(403) 817-3552",,"westridge@cbe.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{B2A3C557-7B18-4166-A47B-59A8CD498B0B}","POINT (-114.2142566 51.058496)"
"The Calgary Roman Catholic Separate School Division","St. Rose of Lima Junior High School","2419 50 Street NE","T1Y1Z5","Calgary","AB","(403) 500-2071",,"strose@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{9872AAE8-846A-4621-98CC-383A5B052644}","POINT (-113.9622931 51.0758073)"
"The Calgary Roman Catholic Separate School Division","Guardian Angel School","20 Aspen Hills Dr. SW","T3H0G5","Calgary","AB","(403) 500-2111",,"guardianangel@cssd.ab.ca","Elementary","N","N","Y","N","N","{9DC7A7CD-45A7-4437-AAF0-6341A900A48E}","POINT (-114.2164797 51.0406355)"
"The Calgary School Division","Ron Southern School","483 Silverado Blvd SW","T2X2E2","Calgary","AB","(403) 817-3576",,"ronsouthern@cbe.ab.ca","Elementary","N","N","Y","N","N","{F5B66135-E4B6-4D6B-9C17-A0656FBC8E22}","POINT (-114.0857024 50.8809386)"
"GCA Educational Society","Glenmore Christian Academy Junior High","16520-24 Street SW","T2Y4W2","Calgary","AB","(403) 254-9051",,"admin@gcaschool.com","Elementary/Junior High","N","N","Y","Y","N","{5A37DE2A-6CF7-440B-8D68-3E876CC567FB}","POINT (-114.1152532 50.9039855)"
"The Calgary School Division","Mount View School","2004  4 St NE","T2E3T8","Calgary","AB","(403) 777-6300",,"mountview@cbe.ab.ca","Elementary","N","N","Y","N","N","{A2094322-C5DA-4783-97C2-59C0DB825BA8}","POINT (-114.0520762 51.0696322)"
"The Calgary School Division","Dr. E. P. Scarlett High School","220 Canterbury Dr SW","T2W1H4","Calgary","AB","(403) 281-3366",,"drepscarlett@cbe.ab.ca","Senior High","N","N","N","N","Y","{988105DC-B430-41E8-8E6A-B52E95621284}","POINT (-114.0879958 50.9487948)"
"Foothills Academy Society","Foothills Academy","745 - 37 Street N.W.","T2N4T1","Calgary","AB","(403) 270-9400",,,"Elementary/Junior High/Senior High","N","N","Y","Y","Y","{10757A85-40CD-42B1-BBA3-58C42F2F34E5}","POINT (-114.1423208 51.0640789)"
"The Calgary Roman Catholic Separate School Division","St. William School","11020 Fairmount Drive S.E.","T2J0T1","Calgary","AB","(403) 500-2055",,"stwilliam@cssd.ab.ca","Elementary","N","N","Y","N","N","{40047CC5-F74E-4FBC-B26F-621420BB7964}","POINT (-114.0592724 50.9536283)"
"The Prairie Land School Division","Green Dome Islamic School","4618 80 Avenue NE",,"Calgary","AB","(403) 900-5445",,"greendome.islamicschool@plrd.ab.ca","Elementary","N","N","Y","N","N","{8D7B2506-7867-434E-ABF9-786C0C22F390}","POINT (-113.9682729 51.1265019)"
"Neriah Christian School Society of the Netherlands Reformed Congregation","Neriah Christian School","400 Midpark BLVD","T2X2K4","Calgary","AB","(587) 317-6805",,"darlene.dekker@neriahcs.ca","Elementary/Junior High","N","N","Y","Y","N","{762F2BD8-E2E6-4AC9-AC84-F00F0A36AAEE}","POINT (-114.0587985 50.9087082)"
"The Calgary School Division","Acadia School","9603  5 St SE","T2J1K4","Calgary","AB","(403) 777-8440",,,"Elementary","N","N","Y","N","N","{180993F5-FF18-435D-A5AE-36587E6C3596}","POINT (-114.0539411 50.9676174)"
"The Calgary Roman Catholic Separate School Division","Holy Child School","31 Silverado Terrace SW","T2X0K4","Calgary","AB","(403) 500-2130",,"holychild@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{48E07564-FD81-4841-A7AC-CEB546D2DEC4}","POINT (-114.0831523 50.8861898)"
"The Calgary School Division","Jack James High School","5105  8 Ave SE","T2A4M1","Calgary","AB","(403) 248-4054",,"jackjames@cbe.ab.ca","Senior High","N","N","N","N","Y","{0E60D963-9320-4D39-8934-C4E6E9F49B0A}","POINT (-113.9599771 51.0445345)"
"The Calgary School Division","Dr. Gladys McKelvie Egbert School","6033 Madigan Dr NE","T2A5G9","Calgary","AB","(403) 777-7780",,"drgladysmegbert@cbe.ab.ca","Junior High","N","N","N","Y","N","{138BD5D3-B91B-473D-9CD1-C96FDC36DA04}","POINT (-113.9415433 51.058899)"
"The Calgary School Division","Haysboro School","1123  87 Avenue SW","T2V0W2","Calgary","AB","(403) 777-8530",,"haysboro@cbe.ab.ca","Elementary","N","N","Y","N","N","{148606D3-A84D-487A-B59C-B72D3C637903}","POINT (-114.08915 50.9755019)"
"The Calgary School Division","Tuscany School","990 Tuscany Dr NW","T3L2T4","Calgary","AB","(403) 777-8060",,"tuscany@cbe.ab.ca","Elementary","N","N","Y","N","N","{68BA2FA1-C24F-4930-9CB8-B48D4A4CF69F}","POINT (-114.245445 51.1177938)"
"The Calgary Roman Catholic Separate School Division","St. Henry Elementary School","7423 - 10 Street N.W.","T2K1H5","Calgary","AB","(403) 500-2059",,"sthenry@cssd.ab.ca","Elementary","N","N","Y","N","N","{3EABB559-D2D5-4D4B-AC7E-CFBAE877D055}","POINT (-114.0801921 51.1176043)"
"STEM Innovation Academy Society","STEM Innovation Academy High School","3636 Research Road NW","T2L2K7","Calgary","AB","(587) 943-2499",,"info@stemia.ca","Senior High","N","N","N","N","Y","{45F6EDC4-C9A0-4EDA-AED0-ADCF4DB0C66E}","POINT (-114.1309443 51.0845697)"
"Connect Charter School Society","Connect Charter School","5915 Lewis Drive S.W.","T3E5Z4","Calgary","AB","(403) 282-2890",,"office@connectcharter.ca","Elementary/Junior High","N","N","Y","Y","N","{AC4AD01C-0522-4DE5-817F-6788EEAF1BCD}","POINT (-114.1357727 51.0003803)"
"The Calgary School Division","Dr. Gordon Higgins School","155 Rundlehill Dr NE","T1Y2W9","Calgary","AB","(403) 777-7060",,"drgordonhiggins@cbe.ab.ca","Junior High","N","N","N","Y","N","{88B3EF90-077A-491F-BC85-BBCFA53D8E3A}","POINT (-113.9706783 51.0752764)"
"Calgary Waldorf School Society","Calgary Waldorf School","515 Cougar Ridge Drive S.W.","T3H5G9","Calgary","AB","(403) 287-1868",,"principal@calgarywaldorf.org","Elementary/Junior High","N","N","Y","Y","N","{6574A5C4-2932-4037-81D0-863890ABAAF8}","POINT (-114.2183405 51.0723561)"
"The Calgary School Division","Wildwood School","120  45 St SW","T3C2B3","Calgary","AB","(403) 777-8430",,"wildwood@cbe.ab.ca","Elementary","N","N","Y","N","N","{B143AB93-6891-43F4-8633-D5C27963E103}","POINT (-114.1521308 51.0515963)"
"The Calgary School Division","CLS James Fowler Writing Centre","4004 4 St NE","T2K1A1","Calgary","AB","(403) 230-4743",,"chinooklearning@cbe.ab.ca","Unknown","N","N","N","N","N","{2EA9674F-E24A-4A99-8A4D-C884E851A30E}","POINT (-114.0705306 51.0865389)"
"The Canadian Montessori School Ltd.","Canadian Montessori School West","1112 - 70 Avenue S.W.","T2V0P6","Calgary","AB","(403) 252-3281",,"admin@calgarymontessorischool.com","Unknown","N","N","N","N","N","{FF8D9410-8CE0-448C-916B-EB68D4CC2F8C}","POINT (-114.0882764 50.9907515)"
"The Calgary School Division","Le Roi Daniels School","47 Fyffe Rd SE","T2H1B9","Calgary","AB","(403) 777-6420",,"leroidaniels@cbe.ab.ca","Elementary","N","N","Y","N","N","{37D3D1F6-2C45-4914-BC56-28CE3127FBD4}","POINT (-114.0579698 50.9838651)"
"The Calgary School Division","G. W. Skene School","6226 Penbrooke Dr SE","T2A6M7","Calgary","AB","(403) 777-8150",,"gwskene@cbe.ab.ca","Elementary","N","N","Y","N","N","{06DFFB3F-988F-4C29-AD90-77A98A6909EB}","POINT (-113.945235 51.0456316)"
"The Calgary Roman Catholic Separate School Division","St. Thomas Aquinas School","4540 - 26 Avenue S.W.","T3E0R1","Calgary","AB","(403) 500-2027",,"stthomasaquinas@cssd.ab.ca","Elementary","N","N","Y","N","N","{B119197B-E2E6-46F3-80C1-B0F76F750ECA}","POINT (-114.1518686 51.0309789)"
"The Calgary School Division","Simons Valley School","375 Sandarac Drive NW","T3K4B2","Calgary","AB","(403) 777-6660",,"simonsvalley@cbe.ab.ca","Elementary","N","N","Y","N","N","{47358E0F-5C07-4B52-89BD-D994E8D8CC60}","POINT (-114.1073349 51.1396811)"
"The Calgary Roman Catholic Separate School Division","St. Gemma Outreach High School","38 - 3250 Sunridge Way NE","T1Y7K4","Calgary","AB","(403) 500-2140",,"stgemma@cssd.ab.ca","Senior High","N","N","N","N","Y","{C5A4EC52-178C-4524-AF6B-1F5035FBC747}","POINT (-113.9901507 51.0696454)"
"The Calgary School Division","Coventry Hills School","12350 Coventry Hills Way NE","T3K5S9","Calgary","AB","(403) 777-6025",,"coventryhills@cbe.ab.ca","Elementary","N","N","Y","N","N","{A400090D-906B-4302-A60D-98C16C7F4A3C}","POINT (-114.0514279 51.1651872)"
"The Calgary School Division","Richmond School","2701 - 22 St SW","T2T5G5","Calgary","AB","(403) 777-8380",,"richmond@cbe.ab.ca","Elementary","N","N","Y","N","N","{DE2D6824-B377-435E-B51C-487FC040E32A}","POINT (-114.1150529 51.0301394)"
"The Calgary School Division","CBe-learn","2336 53 Avenue SW","T3E1L2","Calgary","AB","(403) 777-7971",,"cbelearn@cbe.ab.ca","Elementary/Junior High/Senior High","N","N","Y","Y","Y","{2FD2953D-5705-4053-9518-EA3568D97857}","POINT (-114.113942 51.0065237)"
"The Calgary School Division","Cedarbrae School","10631 Oakfield Dr SW","T2W2T3","Calgary","AB","(403) 777-8610",,"cedarbrae@cbe.ab.ca","Elementary","N","N","Y","N","N","{AA713474-EBC3-498E-A577-3CB9AF8DCD8B}","POINT (-114.1331988 50.9584055)"
"The Calgary School Division","Chief Justice Milvain School","3428  42 St NE","T1Y6A3","Calgary","AB","(403) 777-6700",,"chiefjusticemilvain@cbe.ab.ca","Elementary","N","N","Y","N","N","{11968FA5-0FFC-4F4C-AE41-ED55CB859F6D}","POINT (-113.9722042 51.0836928)"
"The Calgary School Division","Janet Johnstone School","224 Shawnessy Dr SW","T2Y1M1","Calgary","AB","(403) 777-8670",,"janetjohnstone@cbe.ab.ca","Elementary","N","N","Y","N","N","{AB8E2FA5-F760-4BB7-AD38-04D5ED17F2BC}","POINT (-114.0801002 50.909376)"
"The Calgary Roman Catholic Separate School Division","St. James Elementary Junior High School","2227 - 58 Avenue S.W.","T3E1N6","Calgary","AB","(403) 500-2035",,"stjames@cssd.ab.ca","Elementary/Junior High","N","N","Y","Y","N","{4FD09AD2-7BF8-44CE-959A-9435D8AC467B}","POINT (-114.1136783 51.0011481)"
